,HouseholdID,Real,Reentered,ES,PSH,TH,RRH,PREV
1,2028039,2,0,0.425008419,0.271801284,0.350017425,0.397626039,0.291636742
2,2036520,2,0,0.327549783,0.188743021,0.266542956,0.337443996,0.218233669
3,2108682,2,0,0.186973424,0.760772184,0.137804714,0.178758793,0.106167875
4,2116994,2,0,0.234826723,0.217690267,0.183896002,0.239388152,0.148293339
5,2154639,2,0,0.299405619,0.554693035,0.232651091,0.265632008,0.190321235
6,200001080,1,1,0.781217497,0.691468305,0.764820278,0.754705525,0.704289144
7,200001139,5,1,0.57029648,0.476206816,0.618977105,0.634828849,0.541513653
8,200001156,5,0,0.274172124,0.193440675,0.227518497,0.225882721,0.162229324
9,200001169,5,1,0.589505534,0.749253956,0.600307138,0.599339511,0.509779697
10,200001171,5,1,0.638969649,0.780865937,0.555110966,0.585469427,0.506256952
11,200001180,1,1,0.877908989,0.322171997,0.866955637,0.857388636,0.814884067
12,200001202,4,0,0.732829982,0.499641566,0.690070678,0.711124443,0.645410487
13,200001212,1,1,0.680389912,0.747923183,0.607343167,0.592241967,0.537909313
14,200001228,5,1,0.551235068,0.216787589,0.47972169,0.480402026,0.402904808
15,200001282,1,0,0.766221469,0.388054398,0.746092765,0.723298365,0.677661719
16,200001318,5,0,0.210524016,0.300530361,0.210634745,0.19893146,0.152930964
17,200001321,5,0,0.160439174,0.385579229,0.158274543,0.147314402,0.108268228
18,200001338,1,1,0.771091996,0.303952836,0.750339325,0.731965881,0.688938425
19,200001380,5,0,0.170333705,0.308806433,0.179735642,0.165838194,0.111425045
20,200001418,2,1,0.80731627,0.478659844,0.778225413,0.796986299,0.739969387
21,200001510,5,1,0.611512726,0.595887517,0.527778329,0.5436455,0.482131962
22,200001511,5,0,0.323538137,0.601526797,0.350912958,0.356322543,0.256681603
23,200001522,5,0,0.34030423,0.361155921,0.310598603,0.315827418,0.256393108
24,200001550,1,1,0.566682523,0.773412071,0.498221419,0.488228672,0.429035265
25,200001570,5,0,0.223672664,0.227714652,0.242262214,0.230800414,0.159594187
26,200001593,1,1,0.783632649,0.361868429,0.751094185,0.739448859,0.689118695
27,200001650,1,1,0.61047138,0.393880922,0.576607156,0.548019004,0.464525667
28,200001684,5,0,0.239176792,0.275881874,0.237401608,0.241560346,0.164846036
29,200001686,2,0,0.419291197,0.41338024,0.41777972,0.415860138,0.355928489
30,200001708,1,0,0.41718925,0.438457038,0.412322774,0.372017467,0.324575939
31,200001733,1,1,0.448546017,0.441969625,0.366503891,0.39577784,0.305753535
32,200001781,5,0,0.373191347,0.440827152,0.294378108,0.324183596,0.234712947
33,200001795,1,1,0.737973375,0.177860153,0.695049048,0.71531778,0.656826416
34,200001834,5,0,0.460858939,0.463031933,0.42339467,0.410886096,0.333022111
35,200001902,1,0,0.503302331,0.500576151,0.42618626,0.408930628,0.360325171
36,200001945,5,0,0.334040559,0.399010753,0.321808634,0.307933347,0.24154417
37,200001956,1,1,0.390610964,0.237535262,0.320834663,0.31593867,0.260496406
38,200001970,5,0,0.377901371,0.271743211,0.327757536,0.339389393,0.24044761
39,200001985,5,1,0.357978153,0.195880819,0.375360344,0.334025323,0.270206579
40,200001997,5,1,0.56222814,0.377599559,0.498934741,0.519995652,0.426830502
41,200002014,4,0,0.292693757,0.234215047,0.290389364,0.290791508,0.222673424
42,200002038,1,1,0.665461285,0.512097462,0.628607106,0.601314821,0.552464193
43,200002048,5,0,0.386724144,0.257736899,0.359444043,0.361777675,0.288264233
44,200002065,1,1,0.679367,0.871494482,0.610344614,0.612968013,0.530441222
45,200002084,1,1,0.468305823,0.248694928,0.397900182,0.431779,0.333214417
46,200002193,5,0,0.401548477,0.537975272,0.375558195,0.384486173,0.29217383
47,200002222,5,0,0.311023801,0.293309221,0.30668048,0.290637406,0.229654256
48,200002249,1,1,0.799146525,0.421819608,0.776625831,0.763042672,0.717822877
49,200002339,1,0,0.8243533,0.375802558,0.804297472,0.790015087,0.750419778
50,200002369,5,1,0.289640397,0.69725244,0.22211513,0.235695716,0.172951147
51,200002371,1,0,0.359810799,0.68109578,0.354555909,0.32122843,0.270182194
52,200002464,1,1,0.394315619,0.617889166,0.41823199,0.369861038,0.292362813
53,200002494,5,0,0.305770993,0.275030361,0.253680382,0.268920259,0.180336451
54,200002525,1,0,0.421792497,0.210143774,0.418822032,0.384357617,0.329745868
55,200002539,1,1,0.555311629,0.316695982,0.482109662,0.490483789,0.410175202
56,200002553,5,0,0.315486951,0.301727017,0.311624291,0.303361668,0.213516012
57,200002616,1,1,0.547628523,0.479474734,0.450475793,0.486884915,0.39415532
58,200002624,4,1,0.44202227,0.613897025,0.434220453,0.427115386,0.345727509
59,200002636,5,1,0.505182037,0.236489611,0.488702469,0.492444114,0.414974577
60,200002672,1,1,0.468589229,0.181165612,0.463494662,0.416485009,0.370772476
61,200002681,5,0,0.201209418,0.492406477,0.193226907,0.212172278,0.132206959
62,200002698,1,1,0.471530025,0.618561386,0.468365402,0.429428054,0.37577274
63,200002714,5,0,0.274220064,0.320973823,0.262324214,0.272887187,0.190626524
64,200002723,3,1,0.46831221,0.440033364,0.457337781,0.458564482,0.366721818
65,200002733,5,0,0.270551479,0.165652885,0.223121819,0.22455198,0.159202417
66,200002756,5,0,0.195608786,0.557254923,0.222286382,0.178827892,0.147352882
67,200002763,4,0,0.56189042,0.498294618,0.484652564,0.524900064,0.422770756
68,200002804,2,1,0.539886556,0.536329782,0.453286634,0.484397601,0.387398673
69,200002809,1,1,0.642609331,0.286575152,0.574761255,0.57012798,0.504658012
70,200002813,4,0,0.544815407,0.20467876,0.516471214,0.548710601,0.430757074
71,200002829,5,0,0.252254125,0.430821544,0.266429093,0.252783396,0.184725903
72,200002861,5,0,0.482945875,0.540196925,0.386240973,0.428648779,0.346863271
73,200002911,5,0,0.352892416,0.31681038,0.248693057,0.303285518,0.221605107
74,200002928,5,0,0.26556724,0.504091042,0.261077476,0.272262525,0.179861598
75,200002960,2,0,0.170489661,0.508052599,0.153013799,0.160450422,0.108306547
76,200002992,5,0,0.341813023,0.330970046,0.268891304,0.261721808,0.214241649
77,200003017,5,0,0.359763075,0.347619592,0.361430839,0.354163829,0.277211318
78,200003044,5,0,0.214642444,0.421684756,0.218970604,0.200603944,0.150576975
79,200003046,4,1,0.678858818,0.218503907,0.640492182,0.669052513,0.572633414
80,200003054,2,1,0.40328563,0.518357082,0.395309153,0.441751438,0.309372826
81,200003102,5,0,0.247287685,0.093300123,0.238359752,0.241462831,0.168264128
82,200003111,5,0,0.297317585,0.307888967,0.229719714,0.237826749,0.179032911
83,200003172,4,1,0.563315346,0.499641367,0.58119554,0.571641394,0.457943706
84,200003186,1,1,0.591715211,0.688225803,0.509849764,0.497191469,0.441187354
85,200003189,3,1,0.645310637,0.170756908,0.666258651,0.623996211,0.576210798
86,200003227,2,0,0.329203306,0.555282333,0.242502361,0.267638084,0.201921935
87,200003280,5,0,0.135560137,0.492698095,0.132730152,0.127651391,0.087150933
