PoF,Source,Sorted
1.008206090509892,"uniform(0, 1)",False
1.044018809838426,"uniform(0, 1)",True
1.0054594428475876,"beta(1, 6)",False
1.0464644966758112,"beta(1, 6)",True
1.0,"beta(6, 1)",False
1.0185686596472219,"beta(6, 1)",True
1.0305500529005245,"beta(2, 5)",False
1.0272355107854163,"beta(2, 5)",True
1.0,"beta(5, 2)",False
1.028134048611695,"beta(5, 2)",True
1.0174505747906,"beta(0.5, 0.5)",False
1.0592702308509705,"beta(0.5, 0.5)",True
1.0,"beta(0.6, 0.1)",False
1.0258620922828914,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0,"beta(0.1, 0.6)",True
1.0060446639192473,KDE,False
1.0122594252570525,KDE,True
1.0,"uniform(0, 1)",False
1.0368286530070066,"uniform(0, 1)",True
1.0,"beta(1, 6)",False
1.0281201600413008,"beta(1, 6)",True
1.0014246215389442,"beta(6, 1)",False
1.0189578049854426,"beta(6, 1)",True
1.0,"beta(2, 5)",False
1.0965844387496786,"beta(2, 5)",True
1.0013645329237917,"beta(5, 2)",False
1.024533847878693,"beta(5, 2)",True
1.0,"beta(0.5, 0.5)",False
1.049841976667584,"beta(0.5, 0.5)",True
1.00060088481167,"beta(0.6, 0.1)",False
1.0162555456480495,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0172521409132893,"beta(0.1, 0.6)",True
1.0,KDE,False
1.0256716381169821,KDE,True
1.0255380432316707,"uniform(0, 1)",False
1.0178150746069277,"uniform(0, 1)",True
1.0,"beta(1, 6)",False
1.0268869225956625,"beta(1, 6)",True
1.0000277318843815,"beta(6, 1)",False
1.0104030821492191,"beta(6, 1)",True
1.0,"beta(2, 5)",False
1.0330564586790254,"beta(2, 5)",True
1.0085828524377396,"beta(5, 2)",False
1.0097182470375348,"beta(5, 2)",True
1.0,"beta(0.5, 0.5)",False
1.1351749434978962,"beta(0.5, 0.5)",True
1.0001280682054672,"beta(0.6, 0.1)",False
1.030551333230587,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.1176372850378,"beta(0.1, 0.6)",True
1.0,KDE,False
1.0146596797772567,KDE,True
1.0086275563392675,"uniform(0, 1)",False
1.0999504381211662,"uniform(0, 1)",True
1.0432296081455081,"beta(1, 6)",False
1.0454303710117665,"beta(1, 6)",True
1.0,"beta(6, 1)",False
1.0080234458184423,"beta(6, 1)",True
1.0013351965737498,"beta(2, 5)",False
1.0254158116471128,"beta(2, 5)",True
1.002549031088731,"beta(5, 2)",False
1.0317772857678786,"beta(5, 2)",True
1.0,"beta(0.5, 0.5)",False
1.0428102942217956,"beta(0.5, 0.5)",True
1.0,"beta(0.6, 0.1)",False
1.0088302919256877,"beta(0.6, 0.1)",True
1.0,"beta(0.1, 0.6)",False
1.0008334559003773,"beta(0.1, 0.6)",True
1.004511183831322,KDE,False
1.0251485833797263,KDE,True
1.002341406591273,"uniform(0, 1)",False
1.0545765501842683,"uniform(0, 1)",True
1.0,"beta(1, 6)",False
1.0363550037495401,"beta(1, 6)",True
1.0015428248332925,"beta(6, 1)",False
1.0096893245105056,"beta(6, 1)",True
1.0,"beta(2, 5)",False
