"uniform(0, 1)","uniform(0, 1)_sorted","beta(1, 6)","beta(1, 6)_sorted","beta(6, 1)","beta(6, 1)_sorted","beta(2, 5)","beta(2, 5)_sorted","beta(5, 2)","beta(5, 2)_sorted","beta(0.5, 0.5)","beta(0.5, 0.5)_sorted","beta(0.6, 0.1)","beta(0.6, 0.1)_sorted","beta(0.1, 0.6)","beta(0.1, 0.6)_sorted"
1.008206090509892,1.044018809838426,1.0054594428475876,1.0464644966758112,1.0,1.0185686596472219,1.0305500529005245,1.0272355107854163,1.0,1.028134048611695,1.0174505747906,1.0592702308509705,1.0,1.0258620922828914,1.0,1.0
1.01431547119813,1.083173905171818,1.0029861888764466,1.0718946626578718,1.0025920498654635,1.0227894802714277,1.0,1.0433935805546901,1.0018289174912713,1.0467924270820574,1.0,1.0351705114238607,1.0046350035218607,1.0238919559138653,1.0,1.0
1.0016468180126532,1.0157477031045175,1.000228970734148,1.0115919275992542,1.000806157053503,1.0129516395919484,1.0,1.0290035846640482,1.0,1.008397971025725,1.0,1.0529939288695174,1.0122598200170252,1.0250200362237365,1.0,1.0
1.0053377153878877,1.0291563781504747,1.0059721722188102,1.0084406686763496,1.0,1.017438276896888,1.0,1.0210216138328532,1.0,1.008950955224117,1.0,1.0433851144727508,1.0,1.0306790126864742,1.0,1.0
1.0255983456161872,1.036391026738933,1.013452404190253,1.0283588472355105,1.0,1.0194816440345726,1.0,1.0321474804621946,1.0,1.016614760872354,1.0,1.0353508071806226,1.0,1.0164756889229791,1.001644736842105,1.038468550592525
1.0086098779254709,1.0372329312066726,1.0,1.054779094269232,1.0,1.0226928159269406,1.0,1.0146166354051305,1.0,1.013952863484447,1.0018562172691725,1.1067005374601424,1.0,1.0091154549560082,1.0,1.0
1.0039322704832307,1.0199422648097676,1.0,1.0594882082798422,1.0003807264894413,1.0076964037267238,1.0,1.0506308809234313,1.0024672700025103,1.0291381931131265,1.0,1.0285307858844348,1.0,1.0177269542673248,1.0,1.0146783526208305
1.0256373752555568,1.0543712614271634,1.0,1.028702348373958,1.0013284654032255,1.0086001868236825,1.0,1.0360073023901462,1.0016853785900783,1.012846713201265,1.0,1.0321541605477171,1.0,1.0268150528748894,1.0,1.0
1.0147259976913479,1.0608123992763228,1.0195892031836247,1.0264789547709603,1.0008630383815855,1.0144732074137555,1.0,1.0406518128978686,1.0,1.0250895886014937,1.0,1.0693870099400646,1.000036706527236,1.002778828296304,1.0,1.0
1.0,1.04447500065715,1.0004250934845416,1.0569589803303607,1.0,1.0067616403081334,1.0,1.0588915733216195,1.0000398089419593,1.0258981365335191,1.0,1.150722985478482,1.0,1.0051033708714836,1.0,1.0
1.001559677717031,1.0401761715136022,1.0,1.0193277573077018,1.0017253516462514,1.0212236197444002,1.0,1.0425457661401105,1.0008873143281776,1.026622735234747,1.0025481982020414,1.0617194898000133,1.0049984050050413,1.0691108506346765,1.0,1.0
1.0077561698714586,1.085999916037097,1.0,1.0410540798925123,1.0019965186188369,1.0156932823282454,1.0,1.0658161234224732,1.0023080678515057,1.0382822264571197,1.0,1.0740276988695607,1.0,1.017242111332942,1.0002522704339052,1.0421371670734652
